Designator	Mid X	Mid Y	Layer	Rotation			
U$42	35.66316475	10.32605055	Top	246			
U$43	40.54914718	8.45049762	Top	252			
U$44	45.60441236	7.095943398	Top	258			
U$45	50.77357374	6.277228667	Top	264			
U$46	55.9999969	6.003323435	Top	270			
U$47	61.22642006	6.277228667	Top	276			
U$48	66.39558144	7.095943398	Top	282			
U$49	71.45084662	8.45049762	Top	288			
U$50	76.33682905	10.32605055	Top	294			
U$51	80.9999969	12.70205325	Top	300			
U$52	85.38925951	15.55247372	Top	306			
U$53	89.45652722	18.84608216	Top	312			
U$54	93.15723817	22.54679312	Top	318			
U$55	96.45084662	26.61406082	Top	324			
U$56	99.30126709	31.00332343	Top	330			
U$57	101.6772698	35.66649128	Top	336			
U$58	103.5528227	40.55247372	Top	342			
U$59	104.9073769	45.60773889	Top	348			
U$60	105.7260917	50.77690027	Top	354			
U$61	105.9999969	56.00332344	Top	0			
U1	78.74	73.66	Top	90			
X1	87.63	24.13	Top	135			
X2	55.88	11.684	Top	180			
							
							
							
							
							
